place,movie_title,rating,year,star_cast
189,"Tam, gdzie rosną poziomki",8.074228877916694,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
190,W imię ojca,8.073014761277696,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
191,Łowca jeleni,8.072587255272,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
192,Przełęcz ocalonych,8.071944355137841,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
193,Trzeci człowiek,8.071384433100304,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
194,Cena strachu,8.069784936550732,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
195,Zagadka zbrodni,8.069348549086204,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
196,Młody Sherlock Holmes,8.068364524519877,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
197,Dzikie historie,8.067947857807958,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
198,Pan Smith jedzie do Waszyngtonu,8.065319480431103,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
199,Mad Max: Na drodze gniewu,8.063944009465265,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
200,Mary i Max,8.0621756751769,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
201,Jak wytresować smoka,8.061475044580758,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
202,Stowarzyszenie Umarłych Poetów,8.061374486436765,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
203,Potwory i spółka,8.061255549016645,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
204,Siódma pieczęć,8.060959830038746,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
205,John Wick 4,8.060728331510594,2023,"Chad Stahelski (dir.), Keanu Reeves, Laurence Fishburne"
206,Szczęki,8.060453784036785,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
207,Pokój,8.05813474496803,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
208,Big Lebowski,8.056613316242428,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
209,Tokijska opowieść,8.054540575053434,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
210,Le Mans '66,8.051379525412178,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
211,Męczeństwo Joanny d'Arc,8.050196469044433,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
212,Hotel Ruanda,8.047368224505135,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
213,Rocky,8.046812758936772,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
214,Ratatuj,8.044734647934154,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
215,Pluton,8.043390717247327,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
216,Logan: Wolverine,8.041247979369412,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
217,Spotlight,8.041066204025645,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
218,Terminator,8.040302017061714,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
219,Stań przy mnie,8.035066115061614,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
220,Wyścig,8.034736664741638,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
221,Sieć,8.033734084431096,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
